"passholder_type","duration","station_name"
"Walk-up",5,"Traction & "
"Monthly Pas",20,"Pico & Flow"
"Walk-up",31,"Memorial Pa"
"Walk-up",32,"Memorial Pa"
"Walk-up",39,"Ocean Front"
"Walk-up",41,"Ocean Front"
"Monthly Pas",3,"Grand & 7th"
"Walk-up",38,"Ocean Front"
"Monthly Pas",5,"Caltech Eas"
"Monthly Pas",10,"Figueroa & "
"Monthly Pas",3,"7th & Sprin"
"Monthly Pas",6,"Olive & 5th"
"Walk-up",4,"1st & Judge"
"Monthly Pas",3,"7th & Flowe"
"Walk-up",10,"Los Robles "
"Walk-up",3,"Grand & 7th"
"Monthly Pas",4,"7th & Sprin"
"Monthly Pas",15,"3rd & Santa"
"Walk-up",89,"Pacific & N"
"Walk-up",92,"Pacific & N"
"Monthly Pas",2,"Main & 9th"
"Monthly Pas",8,"7th & Sprin"
"Walk-up",31,"Oakland & U"
"Walk-up",39,"Los Robles "
"Walk-up",29,"Pico & Flow"
"One Day Pas",33,"Pico & Flow"
"One Day Pas",50,"Pico & Flow"
"One Day Pas",51,"Pico & Flow"
"Monthly Pas",7,"Fair Oaks &"
"One Day Pas",12,"Figueroa & "
"One Day Pas",18,"Pico & Flow"
"Monthly Pas",11,"Grand & 14t"
"Monthly Pas",4,"Los Robles "
"Monthly Pas",4,"Los Robles "
"Walk-up",10,"2nd & Figue"
"Walk-up",8,"Grand & Was"
"Walk-up",10,"Grand & Was"
"Monthly Pas",19,"Fair Oaks &"
"Monthly Pas",62,"7th & Main"
"Walk-up",425,"Pacific & N"
"Monthly Pas",5,"Main & 6th"
"Monthly Pas",11,"Traction & "
"Monthly Pas",5,"Rose & Main"
"Monthly Pas",3,"Olive & 8th"
"Monthly Pas",5,"7th & Sprin"
"Monthly Pas",3,"Figueroa & "
"Walk-up",33,"Ocean Front"
"Walk-up",33,"Ocean Front"
"Monthly Pas",11,"1st & Centr"
"Walk-up",37,"Ocean Front"
"Monthly Pas",43,"California "
"Monthly Pas",9,"Figueroa & "
"Walk-up",3,"Ocean Front"
"Monthly Pas",5,"2nd & Hill"
"Monthly Pas",15,"Olive & 8th"
"Monthly Pas",15,"3rd & Santa"
"Monthly Pas",16,"Broadway & "
"Monthly Pas",7,"Figueroa & "
"Walk-up",27,"Washington "
"Monthly Pas",5,"Broadway & "
"Monthly Pas",8,"Cordova & L"
"Walk-up",28,"Cabrillo Be"
"Walk-up",30,"Cabrillo Be"
"Monthly Pas",15,"Figueroa & "
"Walk-up",32,"Cabrillo Be"
"Walk-up",24,"Cabrillo Be"
"Monthly Pas",8,"Caltech Eas"
"Monthly Pas",4,"Cordova & L"
"Walk-up",24,"DoubleTree "
"Monthly Pas",4,"7th & Flowe"
"Walk-up",25,"DoubleTree "
"Walk-up",8,"Figueroa & "
"Walk-up",14,"5th & Grand"
"Monthly Pas",122,"Lake & Unio"
"Monthly Pas",4,"Pico & Flow"
"Monthly Pas",2,"3rd & Santa"
"Monthly Pas",4,"7th & Sprin"
"One Day Pas",18,"Broadway & "
"Walk-up",10,"Hope & 11th"
"Monthly Pas",9,"7th & Bixel"
"Monthly Pas",9,"7th & Bixel"
"Walk-up",10,"7th & Flowe"
"Monthly Pas",21,"7th & Broad"
"One Day Pas",19,"5th & Hewit"
"Monthly Pas",4,"7th & Sprin"
"One Day Pas",20,"5th & Hewit"
"Monthly Pas",9,"Lake & Cali"
"Walk-up",18,"7th & Flowe"
"Walk-up",1,"7th & Flowe"
"Monthly Pas",8,"Madison & W"
"Monthly Pas",11,"7th & Sprin"
"Monthly Pas",10,"1st & Centr"
"Walk-up",26,"3rd & San P"
"Walk-up",27,"3rd & San P"
"Walk-up",14,"Cabrillo Be"
"One Day Pas",10,"8th & Wall"
"Monthly Pas",19,"Industrial "
"Monthly Pas",20,"Industrial "
"One Day Pas",52,"7th & Sprin"
"Walk-up",21,"Willow St &"
