"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type","Station_ID","Station_Name","Go_live_date","Region","Status"
95338344,5,"0007-04-18 00:29:00","0007-04-18 00:34:00",3082,34.0465,-118.237,3082,34.0465,-118.237,12119,1,"Round Trip","Walk-up",3082,"Traction & ","0000-00-00","DTLA","Active"
95338345,20,"0007-04-18 00:24:00","0007-04-18 00:44:00",3047,34.04,-118.266,3067,34.0452,-118.25,6618,30,"One Way","Monthly Pas",3047,"Pico & Flow","0000-00-00","DTLA","Active"
95338346,31,"0007-04-18 00:24:00","0007-04-18 00:55:00",4162,34.1475,-118.148,4162,34.1475,-118.148,5727,1,"Round Trip","Walk-up",4162,"Memorial Pa","0000-00-00","Pasadena","Inactive"
95338347,32,"0007-04-18 00:23:00","0007-04-18 00:55:00",4162,34.1475,-118.148,4162,34.1475,-118.148,6004,1,"Round Trip","Walk-up",4162,"Memorial Pa","0000-00-00","Pasadena","Inactive"
95338348,39,"0007-04-18 00:20:00","0007-04-18 00:59:00",4210,33.9843,-118.472,4210,33.9843,-118.472,11200,1,"Round Trip","Walk-up",4210,"Ocean Front","0000-00-00","Venice","Active"
95338349,41,"0007-04-18 00:18:00","0007-04-18 00:59:00",4210,33.9843,-118.472,4210,33.9843,-118.472,12179,1,"Round Trip","Walk-up",4210,"Ocean Front","0000-00-00","Venice","Active"
95338350,3,"0007-04-18 00:17:00","0007-04-18 00:20:00",3064,34.0468,-118.257,3051,34.0454,-118.254,5928,30,"One Way","Monthly Pas",3064,"Grand & 7th","0000-00-00","DTLA","Active"
95338351,38,"0007-04-18 00:09:00","0007-04-18 00:47:00",4210,33.9843,-118.472,4210,33.9843,-118.472,12326,1,"Round Trip","Walk-up",4210,"Ocean Front","0000-00-00","Venice","Active"
95338352,5,"0007-04-18 00:09:00","0007-04-18 00:14:00",4176,34.1379,-118.122,4158,34.1353,-118.132,6202,30,"One Way","Monthly Pas",4176,"Caltech Eas","0000-00-00","Pasadena","Inactive"
95338353,10,"0007-04-18 00:08:00","0007-04-18 00:18:00",3035,34.0484,-118.261,3038,34.0468,-118.248,12388,30,"One Way","Monthly Pas",3035,"Figueroa & ","0000-00-00","DTLA","Active"
95344995,3,"0007-04-18 01:53:00","0007-04-18 01:56:00",3031,34.0447,-118.252,3033,34.041,-118.256,5931,30,"One Way","Monthly Pas",3031,"7th & Sprin","0000-00-00","DTLA","Active"
95344996,6,"0007-04-18 01:49:00","0007-04-18 01:55:00",3063,34.048,-118.254,3038,34.0468,-118.248,6239,30,"One Way","Monthly Pas",3063,"Olive & 5th","0000-00-00","DTLA","Active"
95344997,4,"0007-04-18 01:41:00","0007-04-18 01:45:00",3023,34.0509,-118.241,3046,34.0529,-118.247,6036,1,"One Way","Walk-up",3023,"1st & Judge","0000-00-00","DTLA","Active"
95344998,3,"0007-04-18 01:29:00","0007-04-18 01:32:00",3005,34.0485,-118.259,3006,34.0455,-118.257,6222,30,"One Way","Monthly Pas",3005,"7th & Flowe","0000-00-00","DTLA","Active"
95344999,10,"0007-04-18 01:27:00","0007-04-18 01:37:00",4151,34.1424,-118.142,4169,34.147,-118.14,12385,1,"One Way","Walk-up",4151,"Los Robles ","0000-00-00","Pasadena","Inactive"
95345000,3,"0007-04-18 01:18:00","0007-04-18 01:21:00",3064,34.0468,-118.257,3018,34.0437,-118.26,5787,1,"One Way","Walk-up",3064,"Grand & 7th","0000-00-00","DTLA","Active"
95345001,4,"0007-04-18 01:06:00","0007-04-18 01:10:00",3031,34.0447,-118.252,3064,34.0468,-118.257,6114,30,"One Way","Monthly Pas",3031,"7th & Sprin","0000-00-00","DTLA","Active"
95345002,15,"0007-04-18 00:45:00","0007-04-18 01:00:00",3022,34.0461,-118.233,3078,34.0643,-118.239,5715,30,"One Way","Monthly Pas",3022,"3rd & Santa","0000-00-00","DTLA","Active"
95345010,89,"0007-04-18 00:10:00","0007-04-18 01:39:00",4211,33.9849,-118.47,4211,33.9849,-118.47,12217,1,"Round Trip","Walk-up",4211,"Pacific & N","0000-00-00","Venice","Active"
95345014,92,"0007-04-18 00:07:00","0007-04-18 01:39:00",4211,33.9849,-118.47,4211,33.9849,-118.47,12348,1,"Round Trip","Walk-up",4211,"Pacific & N","0000-00-00","Venice","Active"
95351656,2,"0007-04-18 02:01:00","0007-04-18 02:03:00",3033,34.041,-118.256,3031,34.0447,-118.252,5931,30,"One Way","Monthly Pas",3033,"Main & 9th","0000-00-00","DTLA","Active"
95351657,8,"0007-04-18 01:55:00","0007-04-18 02:03:00",3031,34.0447,-118.252,3031,34.0447,-118.252,6247,30,"Round Trip","Monthly Pas",3031,"7th & Sprin","0000-00-00","DTLA","Active"
95351661,31,"0007-04-18 01:38:00","0007-04-18 02:09:00",4169,34.147,-118.14,4142,34.1446,-118.145,6446,1,"One Way","Walk-up",4169,"Oakland & U","0000-00-00","Pasadena","Inactive"
95351662,39,"0007-04-18 01:30:00","0007-04-18 02:09:00",4151,34.1424,-118.142,4142,34.1446,-118.145,5995,1,"One Way","Walk-up",4151,"Los Robles ","0000-00-00","Pasadena","Inactive"
95358321,29,"0007-04-18 03:42:00","0007-04-18 04:11:00",3047,34.04,-118.266,3047,34.04,-118.266,6562,1,"Round Trip","Walk-up",3047,"Pico & Flow","0000-00-00","DTLA","Active"
95358322,33,"0007-04-18 03:39:00","0007-04-18 04:12:00",3047,34.04,-118.266,3047,34.04,-118.266,5740,1,"Round Trip","One Day Pas",3047,"Pico & Flow","0000-00-00","DTLA","Active"
95358323,50,"0007-04-18 03:21:00","0007-04-18 04:11:00",3047,34.04,-118.266,3047,34.04,-118.266,6183,1,"Round Trip","One Day Pas",3047,"Pico & Flow","0000-00-00","DTLA","Active"
95358324,51,"0007-04-18 03:20:00","0007-04-18 04:11:00",3047,34.04,-118.266,3047,34.04,-118.266,12339,1,"Round Trip","One Day Pas",3047,"Pico & Flow","0000-00-00","DTLA","Active"
95371659,7,"0007-04-18 06:49:00","0007-04-18 06:56:00",4154,34.1561,-118.151,4162,34.1475,-118.148,6350,30,"One Way","Monthly Pas",4154,"Fair Oaks &","0000-00-00","Pasadena","Inactive"
95371660,12,"0007-04-18 06:32:00","0007-04-18 06:44:00",3011,34.0411,-118.268,3011,34.0411,-118.268,6428,1,"Round Trip","One Day Pas",3011,"Figueroa & ","0000-00-00","DTLA","Active"
95371661,18,"0007-04-18 06:27:00","0007-04-18 06:45:00",3047,34.04,-118.266,3011,34.0411,-118.268,6183,1,"One Way","One Day Pas",3047,"Pico & Flow","0000-00-00","DTLA","Active"
95371662,11,"0007-04-18 06:06:00","0007-04-18 06:17:00",3056,34.0375,-118.265,3005,34.0485,-118.259,5887,30,"One Way","Monthly Pas",3056,"Grand & 14t","0000-00-00","DTLA","Active"
95378334,4,"0007-04-18 07:54:00","0007-04-18 07:58:00",4151,34.1424,-118.142,4144,34.1424,-118.133,6338,30,"One Way","Monthly Pas",4151,"Los Robles ","0000-00-00","Pasadena","Inactive"
95378336,4,"0007-04-18 07:53:00","0007-04-18 07:57:00",4151,34.1424,-118.142,4144,34.1424,-118.133,6321,30,"One Way","Monthly Pas",4151,"Los Robles ","0000-00-00","Pasadena","Inactive"
95378349,10,"0007-04-18 07:16:00","0007-04-18 07:26:00",3049,34.057,-118.254,3005,34.0485,-118.259,6538,1,"One Way","Walk-up",3049,"2nd & Figue","0000-00-00","DTLA","Active"
95378350,8,"0007-04-18 07:15:00","0007-04-18 07:23:00",3025,34.0329,-118.268,3047,34.04,-118.266,6087,1,"One Way","Walk-up",3025,"Grand & Was","0000-00-00","DTLA","Active"
95378351,10,"0007-04-18 07:13:00","0007-04-18 07:23:00",3025,34.0329,-118.268,3047,34.04,-118.266,6287,1,"One Way","Walk-up",3025,"Grand & Was","0000-00-00","DTLA","Active"
