"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type","Station_ID","Station_Name","Go_live_date","Region","Status"
95851773,4,"0007-07-18 00:23:00","0007-07-18 00:27:00",3046,34.0529,-118.247,3028,34.0583,-118.246,5805,1,"One Way","Walk-up",3046,"2nd & Hill","0000-00-00","DTLA","Active"
95851774,6,"0007-07-18 00:23:00","0007-07-18 00:29:00",3008,34.0466,-118.263,3047,34.04,-118.266,12367,30,"One Way","Monthly Pas",3008,"Figueroa & ","0000-00-00","DTLA","Active"
95851775,6,"0007-07-18 00:13:00","0007-07-18 00:19:00",3068,34.0532,-118.251,3005,34.0485,-118.259,5729,30,"One Way","Monthly Pas",3068,"Grand & 3rd","0000-00-00","DTLA","Active"
95851776,7,"0007-07-18 00:12:00","0007-07-18 00:19:00",3074,34.0442,-118.261,3067,34.0452,-118.25,5930,1,"One Way","Walk-up",3074,"Hope & Olym","0000-00-00","DTLA","Active"
95851777,8,"0007-07-18 00:11:00","0007-07-18 00:19:00",3074,34.0442,-118.261,3067,34.0452,-118.25,5858,30,"One Way","Monthly Pas",3074,"Hope & Olym","0000-00-00","DTLA","Active"
95851778,3,"0007-07-18 00:09:00","0007-07-18 00:12:00",3005,34.0485,-118.259,3031,34.0447,-118.252,6336,30,"One Way","Monthly Pas",3005,"7th & Flowe","0000-00-00","DTLA","Active"
95851779,8,"0007-07-18 00:07:00","0007-07-18 00:15:00",3068,34.0532,-118.251,3006,34.0455,-118.257,6017,30,"One Way","Monthly Pas",3068,"Grand & 3rd","0000-00-00","DTLA","Active"
95851780,7,"0007-07-18 00:06:00","0007-07-18 00:13:00",3049,34.057,-118.254,3023,34.0509,-118.241,6591,30,"One Way","Monthly Pas",3049,"2nd & Figue","0000-00-00","DTLA","Active"
95851781,8,"0007-07-18 00:04:00","0007-07-18 00:12:00",3074,34.0442,-118.261,3077,34.0399,-118.25,5921,30,"One Way","Monthly Pas",3074,"Hope & Olym","0000-00-00","DTLA","Active"
95858632,7,"0007-07-18 01:52:00","0007-07-18 01:59:00",3048,34.0417,-118.235,3037,34.0348,-118.231,12244,30,"One Way","Monthly Pas",3048,"5th & Hewit","0000-00-00","DTLA","Active"
95858633,2,"0007-07-18 01:45:00","0007-07-18 01:47:00",3006,34.0455,-118.257,3031,34.0447,-118.252,6521,30,"One Way","Monthly Pas",3006,"Olive & 8th","0000-00-00","DTLA","Active"
95858634,10,"0007-07-18 01:34:00","0007-07-18 01:44:00",3005,34.0485,-118.259,3006,34.0455,-118.257,12203,30,"One Way","Monthly Pas",3005,"7th & Flowe","0000-00-00","DTLA","Active"
95858635,22,"0007-07-18 01:31:00","0007-07-18 01:53:00",3011,34.0411,-118.268,3011,34.0411,-118.268,6292,1,"Round Trip","Walk-up",3011,"Figueroa & ","0000-00-00","DTLA","Active"
95858636,14,"0007-07-18 01:28:00","0007-07-18 01:42:00",4142,34.1446,-118.145,4159,34.1459,-118.117,12081,1,"One Way","Walk-up",4142,"Pasadena Co","0000-00-00","Pasadena","Inactive"
95858637,36,"0007-07-18 01:12:00","0007-07-18 01:48:00",4214,33.9956,-118.482,4215,34.0143,-118.491,12174,1,"One Way","Walk-up",4214,"Ocean Front","0000-00-00","Venice","Active"
95858638,37,"0007-07-18 01:11:00","0007-07-18 01:48:00",4214,33.9956,-118.482,4215,34.0143,-118.491,5815,1,"One Way","Walk-up",4214,"Ocean Front","0000-00-00","Venice","Active"
