"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type","Station_ID","Station_Name","Go_live_date","Region","Status"
96191711,21,"0007-09-18 00:36:00","0007-09-18 00:57:00",4215,34.0143,-118.491,4212,33.9881,-118.472,12424,1,"One Way","Walk-up",4215,"Downtown Sa","0000-00-00","Venice","Active"
96191712,22,"0007-09-18 00:35:00","0007-09-18 00:57:00",4215,34.0143,-118.491,4212,33.9881,-118.472,6014,1,"One Way","Walk-up",4215,"Downtown Sa","0000-00-00","Venice","Active"
96191713,5,"0007-09-18 00:05:00","0007-09-18 00:10:00",3032,34.0499,-118.256,3052,34.0511,-118.265,6490,30,"One Way","Monthly Pas",3032,"Hope & 6th","0000-00-00","DTLA","Active"
96198260,6,"0007-09-18 01:15:00","0007-09-18 01:21:00",4154,34.1561,-118.151,4174,34.1653,-118.151,11991,30,"One Way","Monthly Pas",4154,"Fair Oaks &","0000-00-00","Pasadena","Inactive"
96198261,9,"0007-09-18 01:05:00","0007-09-18 01:14:00",4147,34.1452,-118.15,4154,34.1561,-118.151,6257,30,"One Way","Monthly Pas",4147,"Fair Oaks &","0000-00-00","Pasadena","Inactive"
96198262,40,"0007-09-18 00:50:00","0007-09-18 01:30:00",3056,34.0375,-118.265,3056,34.0375,-118.265,6476,1,"Round Trip","Walk-up",3056,"Grand & 14t","0000-00-00","DTLA","Active"
96198263,43,"0007-09-18 00:47:00","0007-09-18 01:30:00",3056,34.0375,-118.265,3056,34.0375,-118.265,6678,1,"Round Trip","Walk-up",3056,"Grand & 14t","0000-00-00","DTLA","Active"
96198266,46,"0007-09-18 00:26:00","0007-09-18 01:12:00",3024,34.0577,-118.249,3024,34.0577,-118.249,12102,1,"Round Trip","Walk-up",3024,"Hope & 1st","0000-00-00","DTLA","Active"
96198267,48,"0007-09-18 00:24:00","0007-09-18 01:12:00",3024,34.0577,-118.249,3024,34.0577,-118.249,5952,1,"Round Trip","Walk-up",3024,"Hope & 1st","0000-00-00","DTLA","Active"
96198268,51,"0007-09-18 00:22:00","0007-09-18 01:13:00",3024,34.0577,-118.249,3024,34.0577,-118.249,6639,1,"Round Trip","Walk-up",3024,"Hope & 1st","0000-00-00","DTLA","Active"
96198269,52,"0007-09-18 00:21:00","0007-09-18 01:13:00",3024,34.0577,-118.249,3024,34.0577,-118.249,12027,1,"Round Trip","Walk-up",3024,"Hope & 1st","0000-00-00","DTLA","Active"
96198270,53,"0007-09-18 00:20:00","0007-09-18 01:13:00",3024,34.0577,-118.249,3024,34.0577,-118.249,5965,1,"Round Trip","Walk-up",3024,"Hope & 1st","0000-00-00","DTLA","Active"
96204818,5,"0007-09-18 02:34:00","0007-09-18 02:39:00",4215,34.0143,-118.491,4216,34.0234,-118.48,5815,1,"One Way","Walk-up",4215,"Downtown Sa","0000-00-00","Venice","Active"
96204819,17,"0007-09-18 01:55:00","0007-09-18 02:12:00",3038,34.0468,-118.248,3038,34.0468,-118.248,5917,30,"Round Trip","Monthly Pas",3038,"Main & 5th","0000-00-00","DTLA","Active"
96211378,7,"0007-09-18 03:46:00","0007-09-18 03:53:00",3006,34.0455,-118.257,3047,34.04,-118.266,12289,30,"One Way","Monthly Pas",3006,"Olive & 8th","0000-00-00","DTLA","Active"
96211379,17,"0007-09-18 02:54:00","0007-09-18 03:11:00",3067,34.0452,-118.25,3054,34.0392,-118.236,6184,30,"One Way","Monthly Pas",3067,"Main & 6th","0000-00-00","DTLA","Active"
96224502,4,"0007-09-18 05:54:00","0007-09-18 05:58:00",3006,34.0455,-118.257,3005,34.0485,-118.259,6311,30,"One Way","Monthly Pas",3006,"Olive & 8th","0000-00-00","DTLA","Active"
96224503,3,"0007-09-18 05:42:00","0007-09-18 05:45:00",3052,34.0511,-118.265,3005,34.0485,-118.259,6312,30,"One Way","Monthly Pas",3052,"7th & Bixel","0000-00-00","DTLA","Active"
96224504,5,"0007-09-18 05:41:00","0007-09-18 05:46:00",3082,34.0465,-118.237,3048,34.0417,-118.235,6492,30,"One Way","Monthly Pas",3082,"Traction & ","0000-00-00","DTLA","Active"
96224505,1,"0007-09-18 05:40:00","0007-09-18 05:41:00",3082,34.0465,-118.237,3082,34.0465,-118.237,6351,30,"Round Trip","Monthly Pas",3082,"Traction & ","0000-00-00","DTLA","Active"
96224506,6,"0007-09-18 05:40:00","0007-09-18 05:46:00",3022,34.0461,-118.233,3023,34.0509,-118.241,6575,30,"One Way","Monthly Pas",3022,"3rd & Santa","0000-00-00","DTLA","Active"
96224507,17,"0007-09-18 05:24:00","0007-09-18 05:41:00",3067,34.0452,-118.25,3031,34.0447,-118.252,5784,30,"One Way","Monthly Pas",3067,"Main & 6th","0000-00-00","DTLA","Active"
96231070,5,"0007-09-18 06:54:00","0007-09-18 06:59:00",4154,34.1561,-118.151,4162,34.1475,-118.148,6367,30,"One Way","Monthly Pas",4154,"Fair Oaks &","0000-00-00","Pasadena","Inactive"
96231073,7,"0007-09-18 06:47:00","0007-09-18 06:54:00",3082,34.0465,-118.237,3016,34.0529,-118.242,6457,30,"One Way","Monthly Pas",3082,"Traction & ","0000-00-00","DTLA","Active"
96231074,7,"0007-09-18 06:47:00","0007-09-18 06:54:00",4204,33.9884,-118.452,4202,33.9912,-118.468,5750,30,"One Way","Monthly Pas",4204,"Washington ","0000-00-00","Venice","Active"
96231075,14,"0007-09-18 06:46:00","0007-09-18 07:00:00",4176,34.1379,-118.122,4160,34.133,-118.149,6433,30,"One Way","Monthly Pas",4176,"Caltech Eas","0000-00-00","Pasadena","Inactive"
96231076,3,"0007-09-18 06:45:00","0007-09-18 06:48:00",3014,34.0566,-118.237,3016,34.0529,-118.242,12032,30,"One Way","Monthly Pas",3014,"Union Stati","0000-00-00","DTLA","Active"
96231077,7,"0007-09-18 06:43:00","0007-09-18 06:50:00",3014,34.0566,-118.237,3027,34.05,-118.247,12195,30,"One Way","Monthly Pas",3014,"Union Stati","0000-00-00","DTLA","Active"
96231078,9,"0007-09-18 06:39:00","0007-09-18 06:48:00",3047,34.04,-118.266,3063,34.048,-118.254,6177,30,"One Way","Monthly Pas",3047,"Pico & Flow","0000-00-00","DTLA","Active"
96231079,11,"0007-09-18 06:34:00","0007-09-18 06:45:00",4166,34.1459,-118.122,4177,34.145,-118.138,5865,30,"One Way","Monthly Pas",4166,"Colorado & ","0000-00-00","Pasadena","Inactive"
96231080,15,"0007-09-18 06:32:00","0007-09-18 06:47:00",3055,34.0442,-118.252,3014,34.0566,-118.237,5944,30,"One Way","Monthly Pas",3055,"7th & Main","0000-00-00","DTLA","Inactive"
