"year","month","station_id","lat","lon","Region","countStart","countEnd"
2016,7,3005,34.0485,-118.259,"DTLA",394,482
2016,7,3006,34.0455,-118.257,"DTLA",369,363
2016,7,3007,34.0505,-118.255,"DTLA",165,140
2016,7,3008,34.0466,-118.263,"DTLA",147,192
2016,7,3010,34.037,-118.255,"DTLA",27,26
2016,7,3011,34.0411,-118.268,"DTLA",78,79
2016,7,3014,34.0566,-118.237,"DTLA",499,542
2016,7,3016,34.0529,-118.242,"DTLA",293,265
2016,7,3018,34.0437,-118.26,"DTLA",136,161
2016,7,3019,34.0386,-118.261,"DTLA",226,242
2016,7,3020,34.0311,-118.267,"DTLA",40,41
2016,7,3021,34.0456,-118.237,"DTLA",393,471
2016,7,3022,34.0461,-118.233,"DTLA",379,394
2016,7,3023,34.0509,-118.241,"DTLA",113,116
2016,7,3024,34.0577,-118.249,"DTLA",187,121
2016,7,3025,34.0329,-118.268,"DTLA",39,40
2016,7,3026,34.0632,-118.246,"DTLA",99,86
2016,7,3027,34.05,-118.247,"DTLA",192,149
2016,7,3028,34.0583,-118.246,"DTLA",96,64
2016,7,3029,34.0489,-118.246,"DTLA",122,121
2016,7,3030,34.0519,-118.244,"DTLA",497,463
2016,7,3031,34.0447,-118.252,"DTLA",388,486
2016,7,3032,34.0499,-118.256,"DTLA",258,241
2016,7,3033,34.041,-118.256,"DTLA",64,65
2016,7,3034,34.0421,-118.263,"DTLA",306,304
2016,7,3035,34.0484,-118.261,"DTLA",340,315
2016,7,3036,34.0392,-118.233,"DTLA",123,133
2016,7,3037,34.0348,-118.231,"DTLA",110,133
2016,7,3038,34.0468,-118.248,"DTLA",329,324
2016,7,3040,34.0536,-118.266,"DTLA",106,80
2016,7,3042,34.0493,-118.239,"DTLA",367,473
2016,7,3045,34.0285,-118.257,"DTLA",17,26
2016,7,3046,34.053,-118.248,"DTLA",158,138
2016,7,3047,34.04,-118.266,"DTLA",168,181
2016,7,3048,34.0417,-118.235,"DTLA",135,149
2016,7,3049,34.057,-118.254,"DTLA",290,289
2016,7,3051,34.0454,-118.254,"DTLA",126,114
2016,7,3052,34.0511,-118.265,"DTLA",238,162
2016,7,3053,34.04,-118.263,"DTLA",13,12
2016,7,3054,34.0392,-118.236,"DTLA",77,76
2016,7,3055,34.0442,-118.252,"DTLA",260,204
2016,7,3056,34.0375,-118.265,"DTLA",119,120
2016,7,3057,34.0357,-118.271,"DTLA",30,30
2016,7,3058,34.0358,-118.233,"DTLA",182,186
2016,7,3059,34.0379,-118.256,"DTLA",52,44
2016,7,3060,34.0349,-118.258,"DTLA",27,31
2016,7,3062,34.0477,-118.243,"DTLA",147,165
2016,7,3063,34.048,-118.254,"DTLA",262,316
2016,7,3064,34.0468,-118.257,"DTLA",260,279
2016,7,3065,34.0606,-118.238,"DTLA",92,86
2016,7,3066,34.0634,-118.236,"DTLA",143,111
2016,7,3067,34.0452,-118.25,"DTLA",339,327
2016,7,3068,34.0532,-118.251,"DTLA",248,95
2016,7,3069,34.0509,-118.248,"DTLA",320,320
2016,7,3074,34.0442,-118.261,"DTLA",227,209
2016,7,3075,34.0421,-118.256,"DTLA",199,208
2016,7,3076,34.0406,-118.254,"DTLA",165,177
2016,7,3077,34.0399,-118.25,"DTLA",56,49
2016,7,3078,34.0643,-118.239,"DTLA",47,46
2016,7,3079,34.0501,-118.233,"DTLA",85,93
2016,7,3080,34.0342,-118.255,"DTLA",24,22
2016,7,3081,34.0319,-118.25,"DTLA",22,27
2016,7,4108,34.0259,-118.238,"DTLA",10,16
2016,8,3005,34.0485,-118.259,"DTLA",788,1010
2016,8,3006,34.0455,-118.257,"DTLA",535,549
2016,8,3007,34.0505,-118.255,"DTLA",512,394
2016,8,3008,34.0466,-118.263,"DTLA",435,404
2016,8,3010,34.037,-118.255,"DTLA",113,103
2016,8,3011,34.0411,-118.268,"DTLA",219,284
2016,8,3014,34.0566,-118.237,"DTLA",849,1017
2016,8,3016,34.0529,-118.242,"DTLA",424,425
2016,8,3018,34.0437,-118.26,"DTLA",240,256
2016,8,3019,34.0386,-118.261,"DTLA",373,418
2016,8,3020,34.0311,-118.267,"DTLA",99,107
2016,8,3021,34.0456,-118.237,"DTLA",861,1019
2016,8,3022,34.0461,-118.233,"DTLA",610,712
2016,8,3023,34.0509,-118.241,"DTLA",394,472
2016,8,3024,34.0577,-118.249,"DTLA",450,248
2016,8,3025,34.0329,-118.268,"DTLA",78,101
2016,8,3026,34.0632,-118.246,"DTLA",277,229
2016,8,3027,34.05,-118.247,"DTLA",433,328
2016,8,3028,34.0583,-118.246,"DTLA",228,133
2016,8,3029,34.0489,-118.246,"DTLA",344,256
2016,8,3030,34.0519,-118.244,"DTLA",937,879
2016,8,3031,34.0447,-118.252,"DTLA",782,953
2016,8,3032,34.0499,-118.256,"DTLA",517,520
2016,8,3033,34.041,-118.256,"DTLA",112,106
2016,8,3034,34.0421,-118.263,"DTLA",561,582
2016,8,3035,34.0484,-118.261,"DTLA",634,669
2016,8,3036,34.0392,-118.233,"DTLA",248,295
2016,8,3037,34.0348,-118.231,"DTLA",185,249
2016,8,3038,34.0468,-118.248,"DTLA",619,561
2016,8,3040,34.0536,-118.266,"DTLA",289,249
2016,8,3042,34.0493,-118.239,"DTLA",764,959
2016,8,3045,34.0285,-118.257,"DTLA",47,56
2016,8,3046,34.053,-118.248,"DTLA",231,185
2016,8,3047,34.04,-118.266,"DTLA",359,313
2016,8,3048,34.0417,-118.235,"DTLA",560,615
2016,8,3049,34.057,-118.254,"DTLA",582,470
2016,8,3051,34.0454,-118.254,"DTLA",370,328
2016,8,3052,34.0511,-118.265,"DTLA",400,256
2016,8,3054,34.0392,-118.236,"DTLA",168,164
2016,8,3055,34.0442,-118.252,"DTLA",598,489
2016,8,3056,34.0375,-118.265,"DTLA",230,209
2016,8,3057,34.0357,-118.271,"DTLA",71,77
2016,8,3058,34.0358,-118.233,"DTLA",344,369
2016,8,3059,34.0379,-118.256,"DTLA",136,118
2016,8,3060,34.0349,-118.258,"DTLA",97,100
2016,8,3062,34.0477,-118.243,"DTLA",313,330
2016,8,3063,34.048,-118.254,"DTLA",552,637
2016,8,3064,34.0468,-118.257,"DTLA",810,834
2016,8,3065,34.0606,-118.238,"DTLA",196,210
2016,8,3066,34.0634,-118.236,"DTLA",240,225
2016,8,3067,34.0452,-118.25,"DTLA",688,643
2016,8,3068,34.0532,-118.251,"DTLA",481,189
2016,8,3069,34.0509,-118.248,"DTLA",985,942
2016,8,3074,34.0442,-118.261,"DTLA",473,495
2016,8,3075,34.0421,-118.256,"DTLA",387,397
2016,8,3076,34.0406,-118.254,"DTLA",356,375
2016,8,3077,34.0399,-118.25,"DTLA",148,131
2016,8,3078,34.0643,-118.239,"DTLA",110,165
2016,8,3079,34.0501,-118.233,"DTLA",144,158
2016,8,3080,34.0342,-118.255,"DTLA",26,30
2016,8,3081,34.0319,-118.25,"DTLA",66,78
2016,8,3082,34.0465,-118.237,"DTLA",59,58
2016,8,4108,34.0259,-118.238,"DTLA",16,20
2016,9,3005,34.0485,-118.259,"DTLA",722,912
2016,9,3006,34.0455,-118.257,"DTLA",413,466
2016,9,3007,34.0505,-118.255,"DTLA",421,312
2016,9,3008,34.0466,-118.263,"DTLA",339,357
2016,9,3010,34.037,-118.255,"DTLA",83,68
2016,9,3011,34.0411,-118.268,"DTLA",160,153
2016,9,3014,34.0566,-118.237,"DTLA",707,842
2016,9,3016,34.0529,-118.242,"DTLA",227,252
2016,9,3018,34.0437,-118.26,"DTLA",195,186
2016,9,3019,34.0386,-118.261,"DTLA",257,323
2016,9,3020,34.0311,-118.267,"DTLA",72,93
2016,9,3022,34.0461,-118.233,"DTLA",537,617
2016,9,3023,34.0509,-118.241,"DTLA",320,415
2016,9,3024,34.0577,-118.249,"DTLA",306,149
2016,9,3025,34.0329,-118.268,"DTLA",104,121
2016,9,3026,34.0632,-118.246,"DTLA",244,187
2016,9,3027,34.05,-118.247,"DTLA",374,288
2016,9,3028,34.0583,-118.246,"DTLA",165,74
2016,9,3029,34.0489,-118.246,"DTLA",248,187
2016,9,3030,34.0519,-118.244,"DTLA",764,557
2016,9,3031,34.0447,-118.252,"DTLA",718,868
2016,9,3032,34.0499,-118.256,"DTLA",419,408
2016,9,3033,34.041,-118.256,"DTLA",128,148
2016,9,3034,34.0421,-118.263,"DTLA",535,541
2016,9,3035,34.0484,-118.261,"DTLA",509,516
2016,9,3036,34.0392,-118.233,"DTLA",202,252
2016,9,3037,34.0348,-118.231,"DTLA",172,208
2016,9,3038,34.0468,-118.248,"DTLA",534,510
2016,9,3040,34.0536,-118.266,"DTLA",109,72
2016,9,3042,34.0493,-118.239,"DTLA",676,842
2016,9,3045,34.0285,-118.257,"DTLA",29,59
2016,9,3046,34.053,-118.248,"DTLA",212,140
2016,9,3047,34.04,-118.266,"DTLA",334,303
2016,9,3048,34.0417,-118.235,"DTLA",455,488
2016,9,3049,34.057,-118.254,"DTLA",446,360
2016,9,3051,34.0454,-118.254,"DTLA",308,288
2016,9,3052,34.0511,-118.265,"DTLA",322,249
2016,9,3054,34.0392,-118.236,"DTLA",131,124
2016,9,3055,34.0442,-118.252,"DTLA",484,336
2016,9,3056,34.0375,-118.265,"DTLA",216,222
2016,9,3057,34.0357,-118.271,"DTLA",61,64
2016,9,3058,34.0358,-118.233,"DTLA",252,281
2016,9,3059,34.0379,-118.256,"DTLA",110,114
2016,9,3060,34.0349,-118.258,"DTLA",54,53
2016,9,3062,34.0477,-118.243,"DTLA",307,312
2016,9,3063,34.048,-118.254,"DTLA",342,450
2016,9,3064,34.0468,-118.257,"DTLA",788,744
2016,9,3065,34.0606,-118.238,"DTLA",144,185
2016,9,3066,34.0634,-118.236,"DTLA",226,196
2016,9,3067,34.0452,-118.25,"DTLA",613,623
2016,9,3068,34.0532,-118.251,"DTLA",426,161
2016,9,3069,34.0509,-118.248,"DTLA",823,773
2016,9,3074,34.0442,-118.261,"DTLA",328,366
2016,9,3075,34.0421,-118.256,"DTLA",323,382
2016,9,3076,34.0406,-118.254,"DTLA",294,307
2016,9,3077,34.0399,-118.25,"DTLA",121,112
2016,9,3078,34.0643,-118.239,"DTLA",138,141
2016,9,3079,34.0501,-118.233,"DTLA",76,74
2016,9,3080,34.0342,-118.255,"DTLA",29,32
2016,9,3081,34.0319,-118.25,"DTLA",67,89
2016,9,3082,34.0465,-118.237,"DTLA",741,902
2016,9,4108,34.0259,-118.238,"DTLA",6,12
2016,10,3000,NULL,NULL,"N/A",9,151
2016,10,3005,34.0485,-118.259,"DTLA",745,859
2016,10,3006,34.0455,-118.257,"DTLA",318,357
