"dayTime","station_id","countStart","countEnd"
2016,3000,19,483
2016,3005,3633,4630
2016,3006,2116,2239
2016,3007,1954,1458
2016,3008,1594,1689
2016,3010,378,338
2016,3011,883,1066
2016,3014,3520,4101
2016,3016,1623,1592
2016,3018,904,989
2016,3019,1454,1640
2016,3020,430,484
2016,3021,1254,1490
2016,3022,2806,3144
2016,3023,1473,1814
2016,3024,1407,671
2016,3025,476,518
2016,3026,1175,934
2016,3027,1869,1396
2016,3028,865,411
2016,3029,1367,990
2016,3030,3816,3282
2016,3031,3474,4180
2016,3032,1971,2071
2016,3033,534,580
2016,3034,2352,2374
2016,3035,2623,2660
2016,3036,917,1081
2016,3037,857,1056
2016,3038,2548,2472
2016,3040,777,598
2016,3042,2949,3872
2016,3045,137,217
2016,3046,984,817
2016,3047,1658,1447
2016,3048,2170,2302
2016,3049,2294,1812
2016,3051,1596,1474
2016,3052,1745,1139
2016,3053,13,12
2016,3054,590,571
2016,3055,2503,1912
2016,3056,1110,1122
2016,3057,292,302
2016,3058,1346,1472
2016,3059,575,555
2016,3060,297,317
2016,3062,1594,1555
2016,3063,2113,2580
2016,3064,3419,3485
2016,3065,753,794
2016,3066,1049,891
2016,3067,2941,2697
2016,3068,2250,784
2016,3069,3757,3644
2016,3074,1692,1823
2016,3075,1613,1723
2016,3076,1438,1507
2016,3077,616,599
2016,3078,537,580
2016,3079,507,515
2016,3080,152,148
2016,3081,386,443
2016,3082,2448,3020
2016,4108,44,68
2017,3000,587,3499
2017,3005,9005,10437
2017,3006,3899,3934
2017,3007,4334,3256
2017,3008,3264,3387
2017,3009,54,66
2017,3010,450,623
2017,3011,2149,2620
2017,3013,101,100
2017,3014,6632,7358
2017,3016,1684,1486
2017,3018,2241,2517
2017,3019,2304,2666
2017,3020,465,592
2017,3022,4978,5302
2017,3023,2161,2715
2017,3024,1345,633
2017,3025,869,915
2017,3026,2267,1651
2017,3027,3321,2467
2017,3028,1714,707
2017,3029,2634,1994
2017,3030,6285,5220
2017,3031,6483,7332
2017,3032,3366,4071
2017,3033,1029,1132
2017,3034,3857,4106
2017,3035,4930,5419
2017,3036,1383,1799
2017,3037,1421,1708
2017,3038,4531,4428
2017,3039,114,113
2017,3040,1525,979
2017,3042,5526,6889
2017,3045,390,580
2017,3046,1971,1781
2017,3047,3046,3017
2017,3048,4293,4455
2017,3049,4602,3486
2017,3051,2658,2777
2017,3052,3090,1931
2017,3054,1583,1742
2017,3055,4101,3278
2017,3056,1330,1437
2017,3057,711,894
2017,3058,1987,2039
2017,3059,167,167
2017,3060,478,482
2017,3061,59,53
2017,3062,3338,3323
2017,3063,3722,5078
2017,3064,7060,6880
2017,3065,1104,1174
2017,3066,2818,2672
2017,3067,5032,4443
2017,3068,5971,1405
2017,3069,6438,6803
2017,3074,3648,3326
2017,3075,3343,3708
2017,3076,2648,2682
2017,3077,864,1085
2017,3078,1438,1336
2017,3079,868,895
2017,3080,217,255
2017,3081,803,760
2017,3082,7208,8279
2017,4108,128,187
2017,4125,61,53
2017,4126,753,709
2017,4127,132,131
2017,4129,423,423
2017,4130,463,446
2017,4131,744,781
2017,4132,520,496
2017,4133,281,363
2017,4134,231,163
2017,4135,302,304
2017,4136,142,131
2017,4138,874,886
2017,4142,901,924
2017,4143,2,2
2017,4144,751,693
2017,4146,638,577
2017,4147,766,864
2017,4148,329,267
2017,4149,392,446
2017,4150,646,594
2017,4151,924,806
2017,4152,419,256
2017,4153,1229,1234
2017,4154,566,445
2017,4155,449,325
2017,4156,500,512
2017,4157,917,925
2017,4158,594,768
2017,4159,1023,1071
2017,4160,631,891
2017,4162,1451,1494
2017,4163,887,708
2017,4165,1184,1315
2017,4166,658,552
2017,4167,578,565
2017,4169,702,665
2017,4170,330,193
2017,4174,248,158
2017,4176,1024,1007
2017,4177,968,1121
2017,4180,973,1080
2017,4181,1246,1162
2017,4183,885,783
2017,4194,108,81
2017,4202,1012,1087
2017,4204,559,462
2017,4205,423,312
2017,4206,363,340
2017,4207,521,458
2017,4208,459,366
2017,4209,1205,986
2017,4210,3179,2714
2017,4211,1092,835
2017,4212,1143,931
2017,4213,209,175
2017,4214,4312,3564
2017,4215,2096,3983
2017,4216,287,369
2017,4220,501,483
2017,4227,21,16
2018,3000,141,2220
2018,3005,5043,5522
2018,3006,2359,2377
2018,3007,2432,1739
2018,3008,1776,1885
2018,3010,280,331
2018,3011,1218,1397
2018,3013,51,46
2018,3014,3873,4176
2018,3016,889,771
2018,3018,1226,1217
2018,3019,1325,1402
2018,3020,288,349
2018,3022,2366,2442
2018,3023,1211,1560
2018,3024,661,210
2018,3025,393,346
2018,3026,994,765
2018,3027,1553,1394
2018,3028,864,354
2018,3029,1578,1246
2018,3030,3676,3163
2018,3031,3527,3866
2018,3032,1509,1859
2018,3033,624,648
2018,3034,1745,2063
2018,3035,2540,2549
2018,3036,864,1060
2018,3037,652,768
2018,3038,2363,2191
2018,3040,949,520
2018,3042,2742,3331
2018,3045,213,317
2018,3046,934,1096
2018,3047,1633,1796
2018,3048,1939,1972
2018,3049,2129,1543
2018,3051,1255,1432
2018,3052,1433,865
2018,3054,896,1039
2018,3055,1696,1602
2018,3056,658,740
2018,3057,348,385
2018,3058,807,939
2018,3062,1260,1362
2018,3063,2112,2785
2018,3064,3119,3369
2018,3065,586,718
2018,3066,1395,1156
2018,3067,2421,2211
2018,3068,2802,649
2018,3069,2779,3021
2018,3074,1658,1307
2018,3075,1815,1908
2018,3076,1486,1525
2018,3077,644,698
2018,3078,661,626
2018,3079,370,350
2018,3080,127,144
2018,3081,575,599
2018,3082,3391,3779
2018,4108,16,13
2018,4125,23,23
2018,4126,718,712
2018,4127,79,68
2018,4129,263,282
2018,4130,325,293
2018,4131,428,435
2018,4132,312,310
2018,4133,263,358
2018,4134,260,169
2018,4135,112,110
2018,4136,72,67
2018,4138,701,677
2018,4142,811,791
2018,4144,444,455
2018,4146,282,241
2018,4147,538,571
2018,4148,279,253
2018,4149,380,400
2018,4150,511,402
2018,4151,580,527
2018,4152,400,238
2018,4153,1153,1140
2018,4154,430,300
2018,4155,371,305
2018,4156,425,371
2018,4157,758,805
2018,4158,306,426
2018,4159,599,589
2018,4160,449,580
2018,4162,1149,1261
2018,4163,742,545
2018,4165,756,956
2018,4166,462,459
2018,4167,219,265
2018,4169,348,323
2018,4170,482,307
2018,4174,281,176
2018,4176,762,816
2018,4177,616,665
2018,4180,679,712
2018,4181,735,753
2018,4183,555,531
2018,4202,1662,1450
2018,4204,953,928
2018,4205,604,503
2018,4206,402,360
2018,4207,1164,950
2018,4208,597,427
2018,4209,2630,2404
2018,4210,5274,4543
2018,4211,1626,1209
2018,4212,1910,1558
2018,4213,294,261
2018,4214,7329,6206
2018,4215,3904,7046
2018,4216,446,538
2018,4220,952,941
2018,4227,48,51
2018,4244,7,8
2018,4249,6,3
2018,4254,8,3
