month,DTLA,Pasadena,PortOfLA,Venice
Jul-16,148.3117,0,0,0
Aug-16,313.6753,0,0,0
Sep-16,258,0,0,0
Oct-16,235.7143,0,0,0
Nov-16,187.3117,0,0,0
Dec-16,137.7403,0,0,0
Jan-17,134.3636,0,0,0
Feb-17,123.7013,0,0,0
Mar-17,178.0909,0,0,0
Apr-17,179.8442,0,0,0
May-17,251.1429,0,0,0
Jun-17,241.7532,1.5455,0,0
Jul-17,233.9221,119.303,7.9167,0
Aug-17,225.3896,191.8182,126.0833,0
Sep-17,206.3896,136.3939,77.3333,247.6667
Oct-17,233.3896,120.8485,59.3333,330.4
Nov-17,194.4935,89.303,42.4167,279.2
Dec-17,184.4805,58.4848,33,266.7333
Jan-18,187.1429,87.7273,30.9167,302
Feb-18,170.8312,71.7273,29,273.2667
Mar-18,196.3766,70.4545,39.4167,349.3333
Apr-18,209.5065,80.0303,42.8333,370.0667
May-18,224.9091,100.1515,46.4167,327.6667
Jun-18,228.0779,111.2121,53.5833,297.3333
