year,month,DTLA,Pasadena,PortOfLA,Venice
2016,JUL,148.3117,0,0,0
2016,AUG,313.6753,0,0,0
2016,SEP,258,0,0,0
2016,OCT,235.7143,0,0,0
2016,NOV,187.3117,0,0,0
2016,DEC,137.7403,0,0,0
2017,JAN,134.3636,0,0,0
2017,FEB,123.7013,0,0,0
2017,MAR,178.0909,0,0,0
2017,APR,179.8442,0,0,0
2017,MAY,251.1429,0,0,0
2017,JUN,241.7532,1.5455,0,0
2017,JUL,233.9221,119.303,7.9167,0
2017,AUG,225.3896,191.8182,126.0833,0
2017,SEP,206.3896,136.3939,77.3333,247.6667
2017,OCT,233.3896,120.8485,59.3333,330.4
2017,NOV,194.4935,89.303,42.4167,279.2
2017,DEC,184.4805,58.4848,33,266.7333
2018,JAN,187.1429,87.7273,30.9167,302
2018,FEB,170.8312,71.7273,29,273.2667
2018,MAR,196.3766,70.4545,39.4167,349.3333
2018,APR,209.5065,80.0303,42.8333,370.0667
2018,MAY,224.9091,100.1515,46.4167,327.6667
2018,JUN,228.0779,111.2121,53.5833,297.3333
