"stationId","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
3000,-188,-195,-190,-181,-205,-205,-144,-142,-162,-180,-186,-187,-158,-164,-184,-180,-169,-185,-177,-185,-166,-181,-188,-194,-181,-177,-207,-188,-161,-147,-98
3005,-25,-75,-92,-173,-77,-102,-38,-132,-65,-168,-61,-109,-108,-113,-53,-90,-78,-99,-99,-139,-54,-108,-129,-43,-110,-103,-138,-116,-102,-52,-57
3006,-14,-15,-11,4,15,20,7,-6,-4,-19,-20,11,-56,4,6,-26,-56,-20,29,-28,-4,-15,11,-22,-31,41,48,-7,-10,-8,0
3007,79,68,89,84,90,78,69,98,60,69,75,99,70,64,39,79,60,80,69,63,106,81,88,45,81,85,63,67,41,89,39
3008,-3,-13,6,-13,0,-1,-12,-18,-23,5,-19,-5,-17,-9,-52,-23,10,-17,-9,-28,-2,-36,9,10,-16,-7,9,-40,3,-13,-3
3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,0,0,0,0,0
3010,-2,-15,-5,0,-15,6,4,-11,-5,-8,-27,-7,-3,-9,-13,-10,1,-1,-2,-3,-8,2,-11,-11,-10,-7,-1,-7,-5,8,-9
3011,-51,-36,-32,-39,-9,-47,-31,-24,-7,-28,3,-19,-5,-38,-19,-30,-16,-18,-7,-25,-22,-38,-19,-25,-44,-39,-30,-28,-33,-46,-31
3013,0,0,0,1,0,-2,0,-1,0,3,0,0,-4,1,0,0,0,-1,1,-2,0,0,0,1,-1,0,1,-1,0,-1,2
3014,-77,-11,-55,-40,-27,-87,-74,-52,-40,-90,-70,-22,-37,-62,-22,-62,-40,-47,-57,-2,-105,-93,-46,-15,-45,-32,-94,-75,-43,-44,-44
3016,40,18,3,44,0,7,-13,25,3,19,1,-7,17,14,-3,7,-9,5,3,23,0,33,13,-6,11,-9,30,18,49,-6,17
3018,-17,-36,-25,18,-9,-15,-19,-45,-4,-21,-16,3,-27,-42,-1,3,0,28,-15,-15,10,-13,-23,12,-22,-23,-7,8,-12,-12,-15
3019,-29,-13,-10,-36,1,-38,-24,-40,-12,-5,-9,-6,-25,-17,-37,-10,-25,-10,-40,-19,-21,-32,-16,-13,-11,-22,-5,-32,-41,-29,1
3020,0,-3,-4,-13,-1,-9,-7,-19,6,-15,-1,-13,-23,-9,0,-2,-7,-15,-7,-28,-20,-7,-2,2,8,-4,-3,-12,-18,-7,-9
3021,-5,7,-10,-20,-10,2,0,-21,1,-3,-21,-8,-16,-15,-11,-13,3,-1,-2,-18,10,-5,-9,-12,-9,-30,7,-6,-7,-22,8
3022,-34,-23,-15,12,-12,-16,-25,-21,-19,-32,-3,-3,-46,-11,-43,17,-50,-24,-41,-43,-41,-30,-38,-23,-16,-19,-36,-41,-22,-26,-14
3023,-66,-40,-56,-20,-54,-1,-33,-53,-42,-40,-45,-33,-27,-31,-41,-56,-62,-52,-60,-33,-31,-49,-50,-15,-69,-52,-13,-27,-49,-37,-7
3024,58,72,34,73,66,64,79,76,60,37,70,93,49,64,38,62,63,61,72,64,75,67,70,44,51,60,53,71,68,56,29
3025,3,2,-4,-14,12,-7,4,3,-19,8,-1,-13,11,4,9,-20,25,-3,-3,3,-6,-1,-17,-6,5,-1,-8,-7,0,1,-1
3026,39,32,36,37,25,26,44,31,48,42,44,36,29,43,33,58,30,39,20,19,45,32,25,41,33,43,46,26,32,35,17
3027,30,33,72,79,54,10,44,72,50,51,55,52,64,28,63,15,73,43,43,55,51,56,41,72,67,25,44,66,61,6,11
3028,78,49,55,59,66,70,62,56,73,61,41,74,61,75,87,64,75,61,73,57,71,73,62,70,65,62,50,68,60,52,41
3029,54,34,16,40,27,22,63,68,61,40,24,40,46,55,59,37,65,30,52,77,68,16,33,47,29,37,19,48,67,55,20
3030,52,39,57,35,39,37,71,72,59,32,72,71,55,93,55,106,85,40,108,93,110,80,60,99,100,96,111,57,70,53,5
3031,-74,-38,-47,-78,-79,-58,-3,-104,-82,-39,-114,-80,-60,-84,-47,-12,-106,-53,-25,-95,-72,-72,-88,-43,-81,-68,-74,-28,-42,-32,-16
3032,-36,-52,-28,-41,-31,-34,-23,-63,-39,-29,-31,-70,-23,-57,-32,-18,-47,-49,-44,-39,-30,-29,-45,-19,-31,-29,-59,-43,-20,-40,-24
