"station_id","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
3000,NULL,1,NULL,NULL,6,4,41,204,222,212,406,524,604,537,577,408,401,532,469,460,327,260,7,NULL
3005,216,140,88,52,148,189,391,1383,2121,1697,830,1000,1245,1390,1095,1219,1308,1506,1402,1045,838,570,434,282
3006,174,106,61,42,25,26,78,142,240,277,317,417,635,557,474,500,639,782,751,736,628,426,280,237
3007,48,20,13,58,26,50,106,307,575,630,444,461,524,489,459,354,440,388,399,282,148,94,80,58
3008,90,88,77,38,83,32,215,439,463,413,282,267,406,560,482,470,349,406,456,405,327,299,179,135
3009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,4,7,3,14,13,12,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3010,9,3,4,NULL,NULL,1,2,8,130,101,53,93,122,123,131,154,132,74,52,40,27,17,8,8
3011,63,57,53,31,11,5,55,189,275,329,221,242,328,431,349,354,325,471,339,336,188,178,159,94
3013,1,NULL,1,NULL,NULL,1,NULL,2,3,1,6,9,17,16,10,23,10,15,10,13,1,5,NULL,2
3014,87,83,87,35,47,111,212,540,550,475,398,442,650,972,910,1266,2952,2896,1426,539,402,212,212,131
3016,8,10,29,38,3,32,122,341,465,338,171,220,358,335,251,177,243,280,212,97,48,39,24,8
3018,78,48,24,10,3,7,29,87,89,236,186,254,325,343,311,287,320,401,439,343,363,221,182,137
3019,31,36,21,8,4,44,353,643,758,276,186,198,558,518,362,380,290,298,193,157,144,125,80,45
3020,24,14,15,2,NULL,6,94,86,116,35,41,51,87,133,74,63,78,118,95,82,83,79,31,18
3021,28,28,20,7,2,1,2,18,26,49,61,74,101,82,73,78,93,109,143,163,124,78,64,66
3022,169,128,93,82,19,18,29,119,241,556,608,726,884,960,948,851,784,677,738,751,592,403,277,235
3023,95,45,29,10,1,21,159,108,168,181,217,262,378,390,320,400,474,715,674,512,385,220,188,137
3024,72,44,34,19,5,11,44,18,13,62,54,91,162,74,88,85,108,112,79,95,61,42,69,72
3025,33,21,18,6,10,17,19,65,72,57,63,86,92,109,105,133,280,119,142,86,89,68,56,33
3026,102,52,51,15,14,10,30,152,26,67,81,115,147,179,153,184,218,361,513,279,211,148,128,114
3027,75,40,20,11,4,14,297,514,335,410,247,265,305,464,275,246,242,283,324,219,186,206,200,75
3028,34,32,11,17,5,3,7,19,172,52,51,68,118,108,71,84,81,126,100,117,63,56,52,25
3029,75,78,37,11,4,48,34,56,85,91,121,293,332,330,217,294,269,325,423,305,271,208,182,141
3030,74,95,61,7,56,111,247,1144,1442,845,556,552,965,1089,669,573,618,965,477,380,273,218,163,85
3031,353,241,249,228,72,77,41,486,426,499,433,728,853,865,824,944,1001,1453,1531,1209,904,835,626,500
3032,76,31,11,16,41,70,82,448,655,767,489,427,655,716,587,511,462,571,573,315,202,136,108,52
3033,47,29,6,4,NULL,3,13,42,123,119,134,154,210,209,192,134,149,158,197,151,105,89,47,45
3034,109,67,46,10,7,28,63,142,550,298,448,374,519,703,595,374,436,745,1003,804,542,309,227,144
3035,90,57,38,28,15,50,108,311,745,805,494,563,876,816,738,688,737,796,805,666,531,313,223,135
3036,44,22,12,NULL,2,1,36,165,196,370,183,227,382,441,322,261,266,289,189,164,141,101,74,52
3037,52,37,22,2,7,NULL,98,100,140,126,149,148,248,254,230,238,232,308,349,210,201,136,138,107
3038,252,99,76,27,19,17,23,64,271,213,318,490,634,567,571,573,634,755,822,671,580,560,431,424
3039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,2,4,14,15,17,23,32,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3040,25,28,21,5,3,4,2,16,121,90,82,127,172,186,169,168,155,144,156,130,120,78,60,35
3042,185,129,64,34,18,31,60,116,328,281,261,423,711,663,670,866,1712,2752,1650,1072,697,584,447,338
3045,22,9,21,2,3,3,7,17,22,42,50,44,43,40,61,50,120,266,95,48,31,46,41,31
3046,38,46,24,10,4,12,43,83,259,345,150,203,280,317,226,251,220,281,264,259,131,99,74,75
3047,210,111,72,20,20,18,69,215,401,283,178,206,269,334,324,409,693,659,591,377,252,227,181,141
3048,145,36,29,17,6,25,104,123,382,552,434,523,569,593,535,626,558,650,788,608,549,380,305,192
3049,147,92,119,54,20,20,38,606,340,190,179,238,374,439,313,318,377,455,511,561,454,423,347,226
3051,114,58,41,25,24,30,32,59,148,290,234,399,487,393,385,384,460,528,475,354,241,171,211,140
3052,89,80,74,25,11,12,15,53,143,88,129,181,265,251,237,239,275,299,348,290,291,255,158,127
3053,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,NULL,NULL,1,1,2,NULL,1,2,NULL,2,NULL,NULL
3054,30,14,9,7,30,30,16,152,195,421,189,157,213,290,225,158,228,215,333,181,86,72,51,50
3055,192,88,140,81,32,19,39,108,124,197,217,294,391,415,395,381,415,676,637,532,442,324,317,336
3056,56,30,37,13,5,2,58,341,297,114,101,135,207,402,177,148,202,308,230,121,106,94,57,58
3057,34,25,12,6,6,4,9,28,33,43,59,113,103,99,97,97,146,165,114,101,67,70,83,67
3058,52,31,16,4,2,1,20,85,377,146,192,194,333,339,391,285,323,365,340,352,195,179,130,98
3059,8,1,NULL,NULL,NULL,NULL,1,3,28,48,69,49,80,63,78,84,63,46,29,23,20,15,9,5
3060,2,2,3,NULL,NULL,NULL,9,57,75,29,37,71,76,77,74,105,84,39,27,15,5,4,4,4
3061,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,2,1,4,4,NULL,7,NULL,5,3,11,4,2,2,3,NULL
3062,113,63,44,24,18,7,18,75,368,152,166,254,352,416,349,476,457,573,713,582,446,249,169,156
3063,152,83,60,30,33,42,141,551,1278,652,385,489,753,738,642,625,693,716,644,497,435,324,273,207
3064,91,81,35,79,20,14,31,260,590,780,599,778,1300,1052,903,870,1086,1101,1183,1036,857,568,211,209
3065,33,35,8,5,NULL,2,6,24,29,62,88,193,244,198,170,196,201,314,303,156,130,96,69,124
3066,50,52,34,9,4,3,42,97,160,311,225,162,248,263,323,269,459,616,451,329,218,155,113,126
3067,181,107,89,47,22,29,74,111,232,239,263,413,572,594,537,506,655,1098,877,782,608,559,431,325
3068,35,19,21,9,8,11,15,74,95,84,108,191,299,257,204,248,207,232,176,217,118,92,59,59
3069,123,66,41,19,8,26,49,284,527,802,711,969,1387,1219,1010,947,945,1024,1170,886,535,338,215,167
3074,126,62,23,10,49,16,49,105,211,197,222,337,471,419,394,430,482,586,618,547,453,280,225,144
3075,119,76,43,16,14,24,162,111,453,559,460,373,463,530,487,434,497,533,476,477,342,303,241,146
3076,55,55,23,13,14,15,31,125,365,349,342,330,725,514,478,418,332,362,388,241,203,153,100,83
3077,41,19,40,26,45,22,17,39,82,158,157,127,228,236,212,144,151,125,122,123,86,69,60,53
3078,79,41,30,15,4,4,5,15,25,57,45,89,149,100,159,163,202,328,253,199,216,158,112,94
